remove
"\(([^\)]+)\)"
"unid."
"aff."
"sp."
"sp"
"spp"
"spp."
"f."
"f"
"s.f."
"o."
"s.o."
"so."
"s.c."
"s.p."
"c."
"p."
"s."
"c.,large"
"c.,small"
